Length,Num. Steps,SNR,LSD,Time Generation
142206,284,tensor(0.3649),tensor(2.0199),25.447739601135254
102002,381,tensor(0.3673),tensor(2.1387),24.39933729171753
90832,248,tensor(0.3682),tensor(2.1507),14.349371433258057
114696,233,tensor(0.3652),tensor(2.1911),16.907546758651733
153076,287,tensor(0.3667),tensor(2.0128),27.641109943389893
90240,261,tensor(0.3693),tensor(2.5486),14.77607011795044
122824,212,tensor(0.3788),tensor(2.1124),16.481377363204956
84192,261,tensor(0.3742),tensor(2.3095),13.817832469940186
106308,293,tensor(0.3683),tensor(2.2253),19.6055908203125
101490,335,tensor(0.3642),tensor(2.2309),21.41783046722412
84608,441,tensor(0.3686),tensor(2.2841),23.625264883041382
147266,462,tensor(0.3672),tensor(2.0607),43.04807710647583
132690,476,tensor(0.3618),tensor(2.0223),39.96825337409973
79724,390,tensor(0.3698),tensor(2.2173),19.824801445007324
77722,465,tensor(0.3659),tensor(2.1618),23.03748893737793
83422,364,tensor(0.3742),tensor(2.3978),19.197892427444458
121942,487,tensor(0.3674),tensor(2.1494),37.534698247909546
164688,227,tensor(0.3675),tensor(1.8504),23.643789529800415
84074,227,tensor(0.3578),tensor(2.2994),12.123961687088013
73788,298,tensor(0.3759),tensor(2.2723),14.2780601978302
67964,361,tensor(0.3632),tensor(2.1524),15.848061561584473
82560,499,tensor(0.3767),tensor(2.5343),26.048903942108154
87346,379,tensor(0.3512),tensor(2.1354),21.164140939712524
107262,310,tensor(0.3643),tensor(2.2342),21.301136016845703
104256,225,tensor(0.3685),tensor(1.9441),14.766481161117554
91680,291,tensor(0.3700),tensor(2.5798),16.98774743080139
117058,212,tensor(0.3576),tensor(2.2532),15.738277673721313
152220,246,tensor(0.3675),tensor(2.1099),23.652386903762817
104306,428,tensor(0.3703),tensor(2.3197),28.20311975479126
80386,413,tensor(0.3559),tensor(2.2973),21.404762029647827
106706,355,tensor(0.3755),tensor(1.9915),24.442166566848755
206626,295,tensor(0.3665),tensor(2.0789),39.24511790275574
189284,257,tensor(0.3655),tensor(1.9593),30.87286067008972
75948,303,tensor(0.3731),tensor(2.2953),14.707871675491333
69820,429,tensor(0.3604),tensor(2.0341),19.235348224639893
103038,462,tensor(0.3659),tensor(2.0686),30.27066469192505
99118,290,tensor(0.3605),tensor(2.2473),18.411311626434326
121538,488,tensor(0.3605),tensor(1.9901),37.77750015258789
157452,413,tensor(0.3719),tensor(1.9947),41.39155340194702
75844,357,tensor(0.3824),tensor(2.1854),17.312630891799927
80072,422,tensor(0.3773),tensor(2.3936),21.577373266220093
78912,210,tensor(0.3626),tensor(2.1089),10.601595878601074
98970,227,tensor(0.3690),tensor(2.3698),14.28984546661377
189284,294,tensor(0.3655),tensor(1.9593),35.3750786781311
116716,452,tensor(0.3767),tensor(2.2411),33.616450548172
142332,345,tensor(0.3595),tensor(2.0307),31.4581081867218
78690,322,tensor(0.3751),tensor(2.2328),16.28821325302124
84680,424,tensor(0.3826),tensor(2.2242),22.818984270095825
66748,224,tensor(0.3591),tensor(2.0905),9.596298933029175
84378,240,tensor(0.3741),tensor(2.2598),12.868903160095215
93736,477,tensor(0.3721),tensor(2.3157),28.69190001487732
156586,387,tensor(0.3663),tensor(2.2146),38.63196682929993
152220,342,tensor(0.3675),tensor(2.1099),32.97383522987366
120634,455,tensor(0.3771),tensor(2.2056),35.01497220993042
79252,500,tensor(0.3609),tensor(2.3542),25.328256607055664
83422,313,tensor(0.3742),tensor(2.3978),16.571304082870483
143214,358,tensor(0.3654),tensor(1.9171),32.43638896942139
196320,436,tensor(0.3670),tensor(1.9618),54.722761154174805
83626,296,tensor(0.3553),tensor(2.1747),15.639750480651855
133676,389,tensor(0.3702),tensor(2.2060),33.29265069961548
158518,291,tensor(0.3665),tensor(1.9903),29.45841145515442
92892,497,tensor(0.3539),tensor(1.9591),29.61393666267395
75948,309,tensor(0.3731),tensor(2.2953),15.043888092041016
81490,215,tensor(0.3597),tensor(2.3161),11.202154874801636
108960,413,tensor(0.3698),tensor(2.3034),28.59447145462036
78912,422,tensor(0.3626),tensor(2.1089),21.29690670967102
88108,375,tensor(0.3653),tensor(2.2503),21.247266054153442
125100,480,tensor(0.3475),tensor(2.3320),37.99386024475098
136320,429,tensor(0.3631),tensor(1.9669),37.02684783935547
70658,325,tensor(0.3506),tensor(1.9792),14.855694055557251
135434,373,tensor(0.3669),tensor(1.9668),32.610063552856445
115680,215,tensor(0.3627),tensor(2.3487),15.85634469985962
92348,209,tensor(0.3737),tensor(2.2924),12.320345401763916
64758,265,tensor(0.3724),tensor(2.0473),11.095038175582886
69502,486,tensor(0.3683),tensor(2.1976),21.893339157104492
98386,322,tensor(0.3734),tensor(2.1029),20.541703462600708
145646,338,tensor(0.3605),tensor(2.0934),31.628939390182495
145206,391,tensor(0.3608),tensor(1.9113),36.20278978347778
114364,419,tensor(0.3591),tensor(1.9626),30.310287714004517
129860,225,tensor(0.3692),tensor(1.9691),18.63215732574463
112320,484,tensor(0.3624),tensor(1.9799),34.39577507972717
84192,463,tensor(0.3742),tensor(2.3095),24.82365918159485
144844,266,tensor(0.3797),tensor(1.8676),24.367876052856445
106832,487,tensor(0.3676),tensor(2.3972),33.11258316040039
175752,382,tensor(0.3623),tensor(1.8016),42.5164692401886
91418,395,tensor(0.3699),tensor(2.2601),23.21943759918213
156972,356,tensor(0.3657),tensor(1.8588),35.53355407714844
101054,275,tensor(0.3607),tensor(2.0052),17.75653600692749
187264,456,tensor(0.3611),tensor(2.0316),54.59049677848816
126138,326,tensor(0.3701),tensor(2.0202),26.16633129119873
183840,412,tensor(0.3639),tensor(1.9946),48.62981081008911
67870,398,tensor(0.3759),tensor(2.2674),17.490635633468628
133440,433,tensor(0.3596),tensor(1.9502),36.97451305389404
181542,437,tensor(0.3695),tensor(1.8875),50.982847690582275
256716,350,tensor(0.3684),tensor(1.9442),58.099854469299316
89568,370,tensor(0.3663),tensor(2.0770),21.154309034347534
99776,484,tensor(0.3574),tensor(1.9647),30.851040840148926
122438,449,tensor(0.3617),tensor(2.0299),34.95029354095459
130888,370,tensor(0.3663),tensor(1.9396),30.834594249725342
69564,497,tensor(0.3772),tensor(2.2705),22.15105414390564
